Word,POS,NER
গ্রীক,ADJ,B-OTH
চিন্তাধারার,NNC,B-OTH
সাথে,PP,B-OTH
যুক্ত,ADJ,B-OTH
হওয়া,NNC,B-OTH
শুরু,NNC,B-OTH
করেছিল।,VF,B-OTH
বুধবার,NNP,B-D&T
২৪,PUNCT,B-OTH
জুলাই,NNP,B-D&T
মালদ্বীপের,NNP,B-GPE
স্বরাষ্ট্র,NNP,B-ORG
মন্ত্রণালয়ের,NNP,I-ORG
বরাত,NNC,B-OTH
দিয়ে,PP,B-OTH
মিহারু,NNP,B-PER
নামে,NNC,B-OTH
স্থানীয়,ADJ,B-OTH
গণমাধ্যম,NNC,B-OTH
এ,DET,B-OTH
তথ্য,NNC,B-OTH
জানিয়েছে।,VF,B-OTH
সদ্য,ADJ,B-OTH
বর্ষপূর্তি,NNC,B-OTH
হল,VF,B-OTH
সেই,DET,B-OTH
দিনটির।,NNC,B-OTH
অন্যদিকে,ADV,B-OTH
‘‘পাঠান’’,PUNCT,B-OTH
ছবিতে,NNC,B-OTH
শাহরুখের,NNP,B-PER
পাশে,PP,B-OTH
আইএসআই,NNP,B-ORG
এজেন্ট,NNC,B-PER
রুবিনার,NNP,B-PER
চরিত্রে,NNC,B-OTH
বাজিমাত,NNC,B-OTH
করেছিলেন,VF,B-OTH
দীপিকা।,NNP,B-PER
চুলচেরা,ADJ,B-OTH
বিশ্লেষণ,NNC,B-OTH
না,ADV,B-OTH
করে,VNF,B-OTH
কোনো,DET,B-OTH
সিদ্ধান্তে,NNC,B-OTH
যাবেন,VF,B-OTH
না,ADV,B-OTH
আজ।,NNC,B-D&T
আকারে,NNC,B-OTH
ছোট-ছোট,ADJ,B-OTH
কবিতা,NNC,B-OTH
হিম,NNP,B-PER
ঋতব্রতর।,NNP,I-PER
রেগুলেটরি,NNC,B-OTH
মডেল/টিপ,NNC,B-OTH
মডেল/টিপো,NNC,B-OTH
রেগুলেটরিও,NNP,B-OTH
আশিস,NNP,B-PER
"গুপ্ত,নয়াদিল্লি",NNP,I-PER
,PUNCT,B-OTH
‘আমার,PUNCT,B-OTH
সন্তানদেরও,NNC,B-PER
ঘিরে,VNF,B-OTH
ধরে,VNF,B-OTH
উত্তেজিত,ADJ,B-OTH
জনতা,NNC,B-PER
জিজ্ঞাসা,NNC,B-OTH
করেছে,VF,B-OTH
বলো,VF,B-OTH
তোমরা,PRO,B-OTH
হিন্দু,NNP,B-PER
না,ADV,B-OTH
মুসলমান,NNP,B-PER
সুখ,NNC,B-OTH
মাখিয়ে,VNF,B-OTH
রঙ,NNC,B-OTH
ছড়িয়ে,VNF,B-OTH
দিলো,VF,B-OTH
আমার,PRO,B-OTH
মনেতে,NNC,B-OTH
লালমনিরহাট,NNP,B-GPE
জেলার,NNC,B-OTH
বিভিন্ন,ADJ,B-OTH
জায়গায়,NNC,B-OTH
গবাদি,ADJ,B-OTH
পশু,NNC,B-OTH
বিশেষ,ADV,B-OTH
করে,ADV,B-OTH
গরুর,NNC,B-OTH
লাম্পি,NNP,B-MISC
স্কিন,NNP,I-MISC
ডিজিজ,NNP,I-MISC
এলএসডি,PUNCT,B-OTH
হচ্ছে।,VF,B-OTH
কনডমের,NNC,B-OTH
প্যাকেটও,NNC,B-OTH
করা,NNC,B-OTH
হয়েছে,VF,B-OTH
ভিন্নভাবে।,ADV,B-OTH
রাহি,NNP,B-PER
ইউএনবিকে,NNP,B-ORG
বলেন,VF,B-OTH
‘আমি,PUNCT,B-OTH
বাড়িতে,NNC,B-OTH
নিজেকে,PRO,B-OTH
প্রশিক্ষণে,NNC,B-OTH
ব্যস্ত,ADJ,B-OTH
রাখছি,VF,B-OTH
এবং,CONJ,B-OTH
পরিবারের,NNC,B-OTH
সাথে,PP,B-OTH
সময়,NNC,B-OTH
কাটাচ্ছি।,VF,B-OTH
এভাবে,ADV,B-OTH
প্রসেসরগুলিকে,NNC,B-OTH
বাহ্যিক,ADJ,B-OTH
প্রভাব,NNC,B-OTH
থেকে,PP,B-OTH
সুরক্ষা,NNC,B-OTH
দেওয়া,NNC,B-OTH
যায়।,VF,B-OTH
ব্রাসেলস,NNP,B-GPE
১০,QF,B-D&T
ডিসেম্বর,NNP,I-D&T
২০২২,QF,I-D&T
বাসস,PUNCT,B-OTH
ডেস্ক,PUNCT,B-OTH
,PUNCT,B-OTH
বেলজিয়াম,NNP,B-ORG
পুলিশ,NNC,I-ORG
শুক্রবার,NNP,B-D&T
সন্ধ্যায়,NNC,I-D&T
গ্রীক,ADJ,B-GPE
সমাজতান্ত্রিক,ADJ,B-OTH
এমইপি,NNP,B-PER
ইভা,NNP,B-PER
কাইলি’কে,NNP,I-PER
গ্রেফতার,NNC,B-OTH
করেছে।,VF,B-OTH
সাইদুর,NNP,B-PER
রহমান,NNP,I-PER
বলেন,VF,B-OTH
“কিশোর-যুবক-তরুণ,PUNCT,B-OTH
তারা,PRO,B-OTH
ট্রাফিক,NNC,B-OTH
আইন,NNC,B-OTH
জানেনা,VF,B-OTH
এবং,CONJ,B-OTH
আইন,NNC,B-OTH
মানার,NNC,B-OTH
প্রবণতাও,NNC,B-OTH
তাদের,PRO,B-OTH
মধ্যে,PP,B-OTH
নেই।,VF,B-OTH
আলোচনায়,NNC,B-OTH
কৃষি,NNC,B-PER
সচিব,NNC,I-PER
মো,NNP,B-PER
সায়েদুল,NNP,I-PER
ইসলাম,NNP,I-PER
বলেন,VF,B-OTH
বাংলাদেশ,NNP,B-ORG
সরকার,NNC,I-ORG
এ,DET,B-OTH
বিষয়ে,NNC,B-OTH
সব,DET,B-OTH
ধরনের,NNC,B-OTH
সহযোগিতা,NNC,B-OTH
করতে,VNF,B-OTH
তৈরি,NNC,B-OTH
আছে।,VF,B-OTH
সামাজিক,NNC,B-OTH
মাধ্যমে,NNC,B-OTH
ওয়েব-টেক,NNC,B-OTH
অ্যাসাইমেন্ট,NNC,B-OTH
রাইটিং,NNC,B-OTH
প্রজেক্ট,NNC,B-OTH
থিসিস,NNC,B-OTH
সলিউশনসহ,NNC,B-OTH
বিভিন্ন,ADJ,B-OTH
নামে,NNC,B-OTH
এমন,ADJ,B-OTH
২০-৩০টি,QF,B-NUM
গ্রুপ,NNC,B-OTH
রয়েছে।,VF,B-OTH
রাশিদ,NNP,B-PER
পলাশ,NNP,I-PER
,PUNCT,B-OTH
প্রীতিলতা,NNP,B-T&T
শেষ,NNC,B-OTH
করে,VNF,B-OTH
শুরু,NNC,B-OTH
হচ্ছে,VF,B-OTH
ময়ূরাক্ষী'র,NNP,B-T&T
শুটিং।,NNC,B-OTH
একই,ADJ,B-OTH
মডেল,NNC,B-OTH
কোভিড-১৯,NNP,B-MISC
ওষুধ,NNC,B-OTH
বণ্টনের,NNC,B-OTH
ক্ষেত্রে,PP,B-OTH
কাজে,NNC,B-OTH
লাগানোর,NNC,B-OTH
পরামর্শ,NNC,B-OTH
দেন,VF,B-OTH
তিনি।,PRO,B-OTH
ঢাকা,NNP,B-ORG
বিশ্ববিদ্যালয়ের,NNP,I-ORG
ঢাবি,PUNCT,B-OTH
প্রক্টর,NNC,B-PER
হিসেবে,PP,B-OTH
নিয়োগ,NNC,B-OTH
পেলেন,VF,B-OTH
বিশ্ববিদ্যালয়ের,NNC,B-ORG
ভূগোল,NNP,B-ORG
ও,CONJ,I-ORG
পরিবেশ,NNP,I-ORG
বিভাগের,NNP,I-ORG
অধ্যাপক,NNC,B-PER
ড,NNP,B-PER
মো,NNP,I-PER
মাকসুদুর,NNP,I-PER
রহমান।,NNP,I-PER
ফিনাইলইথাইলঅ্যামিন,NNP,B-MISC
একটি,QF,B-NUM
মৃদু,ADJ,B-OTH
অ্যান্টি-ডিপ্রেসেন্ট,NNC,B-OTH
বা,CONJ,B-OTH
বিষাদগ্রস্ত,ADJ,B-OTH
দূরকারী,ADJ,B-OTH
উপাদান।,NNC,B-OTH
চলতি,ADJ,B-OTH
বছর,NNC,B-OTH
ইউরোপীয়,NNP,B-ORG
ইউনিয়নের,NNP,I-ORG
পক্ষ,NNC,B-OTH
থেকে,PP,B-OTH
এটি,PRO,B-OTH
দ্বিতীয়,ADJ,B-NUM
সফর।,NNC,B-EVENT
জাস্টিন,NNP,B-PER
ট্রুডো,NNP,I-PER
বলেন,VF,B-OTH
রমজান,NNP,B-D&T
হলো,VF,B-OTH
একটি,QF,B-NUM
বিশেষ,ADJ,B-OTH
সময়।,NNC,B-OTH
দীর্ঘ,ADJ,B-OTH
দিন,NNC,B-OTH
যাবত,PP,B-OTH
দুরারোগ্য,ADJ,B-OTH
ব্লাড,NNC,B-MISC
ক্যান্সারে,NNC,I-MISC
আক্রান্ত,ADJ,B-OTH
রাজধানী,NNC,B-OTH
ঢাকার,NNP,B-GPE
কদমতলী,NNP,B-LOC
থানার,NNC,B-OTH
মাতুয়াইল,NNP,B-LOC
আদর্শ,NNP,I-LOC
নগর,NNP,I-LOC
এলাকার,NNC,B-OTH
মো,NNP,B-PER
রনি,NNP,I-PER
১৯)।,PUNCT,B-OTH
বীর,ADJ,B-OTH
মুক্তিযোদ্ধা,NNC,B-PER
মেজর,NNC,B-PER
অব,PUNCT,I-PER
মফিজুল,NNP,I-PER
হক,NNP,I-PER
সরকার,NNP,I-PER
বলেন,VF,B-OTH
বিবার্তা,NNP,B-PER
সত্যের,NNC,B-OTH
কথা,NNC,B-OTH
বলে।,VF,B-OTH
ড,NNP,B-PER
মাহবুব,NNP,I-PER
মোর্শেদ,NNP,I-PER
বলেন,VF,B-OTH
স্বাভাবিকভাবে,ADV,B-OTH
বসতি,NNC,B-OTH
বা,CONJ,B-OTH
কলকারখানা,NNC,B-OTH
গড়ে,VNF,B-OTH
উঠলে,VNF,B-OTH
সেখানে,ADV,B-OTH
আলো,NNC,B-OTH
জ্বলবে।,VF,B-OTH
কুমিল্লার,NNP,B-GPE
চৌদ্দগ্রামে,NNP,B-LOC
নববধূর,NNC,B-PER
ঝুলন্ত,ADJ,B-OTH
লাশ,NNC,B-OTH
উদ্ধার,NNC,B-OTH
করেছে,VF,B-OTH
পুলিশ।,NNC,B-ORG
অ্যাক্টিভ,ADJ,B-OTH
নয়েজ,NNC,B-OTH
বাতিল,NNC,B-OTH
করা,NNC,B-OTH
হচ্ছে,VF,B-OTH
পুলিশ,NNC,B-ORG
জানায়,VF,B-OTH
পাঁচদোনা,NNP,B-LOC
থেকে,PP,B-OTH
একটি,QF,B-NUM
কাভার্ডভ্যান,NNC,B-OTH
টঙ্গীর,NNP,B-LOC
দিকে,PP,B-OTH
যাচ্ছিল।,VF,B-OTH
এদিকে,ADV,B-OTH
চীনের,NNP,B-GPE
প্রতিরক্ষামন্ত্রী,NNC,B-PER
জেনারেল,NNP,B-PER
উই,NNP,B-PER
ফেংগেও,NNP,I-PER
একদিনের,NNC,B-OTH
সফরে,NNC,B-OTH
মঙ্গলবার,NNP,B-D&T
২৭,PUNCT,B-OTH
এপ্রিল,NNP,B-D&T
ঢাকা,NNP,B-GPE
আসছেন।,VF,B-OTH
এর,PRO,B-OTH
প্রায়,ADJ,B-OTH
২০,QF,B-NUM
মিনিট,NNC,B-UNIT
পর,PP,B-OTH
আওয়ামীপন্থী,ADJ,B-OTH
আইনজীবীরা,NNC,B-PER
মিছিল,NNC,B-EVENT
নিয়ে,VNF,B-OTH
আসেন।,VF,B-OTH
শিবচরণ,NNP,B-PER
কহিল,VF,B-OTH
জড়োয়া,ADJ,B-OTH
গহনা,NNC,B-OTH
,PUNCT,B-OTH
আমি,PRO,B-OTH
যা,PRO,B-OTH
তোমাকে,PRO,B-OTH
দিয়েছি,VF,B-OTH
কোন,DET,B-OTH
শালার,NNC,B-OTH
বেটা,NNC,B-PER
তা,PRO,B-OTH
চোখে,NNC,B-OTH
দেখেছে,VF,B-OTH
হুমকি,NNC,B-OTH
পাওয়া,NNC,B-OTH
ওই,DET,B-OTH
শিক্ষকের,NNC,B-PER
নাম,NNC,B-OTH
ড,NNP,B-PER
মু,NNP,I-PER
আলী,NNP,I-PER
আসগর।,NNP,I-PER
বদরুল,NNP,B-PER
ইসলাম,NNP,I-PER
বলেন,VF,B-OTH
তিন,QF,B-NUM
বছর,NNC,B-UNIT
ধরে,PP,B-OTH
সম্পূর্ণ,ADJ,B-OTH
ভেজালমুক্ত,ADJ,B-OTH
খাবার,NNC,B-OTH
দিয়ে,PP,B-OTH
গরুটাকে,NNC,B-OTH
এত,ADJ,B-OTH
বড়,ADJ,B-OTH
করেছি।,VF,B-OTH
আন্দোলনরত,ADJ,B-OTH
শিক্ষক-কর্মচারীরা,NNC,B-PER
জানান,VF,B-OTH
বশেমুরবিপ্রবি,NNP,B-ORG
স্কুল,NNP,I-ORG
অ্যান্ড,NNP,I-ORG
কলেজে,NNP,I-ORG
১৯,QF,B-NUM
জন,NNC,B-OTH
শিক্ষক,NNC,B-PER
ও,CONJ,B-OTH
৪,QF,B-NUM
জন,NNC,B-OTH
কর্মচারী,NNC,B-PER
আছেন।,VF,B-OTH
দেখুন,VF,B-OTH
৪৯,QF,B-NUM
পয়েন্ট,NNC,B-OTH
এড,NNC,B-OTH
হয়ে,VNF,B-OTH
গেছে।,VF,B-OTH
এর,PRO,B-OTH
আগে,PP,B-OTH
বিধিমালা,NNC,B-OTH
ভঙ্গসহ,NNC,B-OTH
একাধিক,ADJ,B-OTH
অভিযোগে,NNC,B-OTH
গত,ADJ,B-D&T
১৬ই,QF,I-D&T
ফেব্রুয়ারি,NNP,I-D&T
শরীফ,NNP,B-PER
উদ্দিনকে,NNP,I-PER
চাকরিচ্যুত,NNC,B-OTH
করে,VF,B-OTH
দুদক।,NNP,B-ORG
কমিটির,NNC,B-ORG
সভাপতি,NNC,B-PER
রওশন,NNP,B-PER
আরা,NNP,I-PER
মান্নানের,NNP,I-PER
সভাপতিত্বে,NNC,B-OTH
আজ,NNC,B-D&T
সংসদ,NNC,B-LOC
ভবনে,NNC,I-LOC
অনুষ্ঠিত,ADJ,B-OTH
সভায়,NNC,B-EVENT
এ,DET,B-OTH
পরামর্শ,NNC,B-OTH
দেয়া,NNC,B-OTH
হয়।,VF,B-OTH
ঈদ,NNC,B-EVENT
উপলক্ষে,PP,B-OTH
জাতির,NNC,B-OTH
উদ্দেশে,PP,B-OTH
ভাষণ,NNC,B-OTH
দেবেন,VF,B-OTH
প্রধানমন্ত্রী,NNC,B-PER
শেখ,NNP,B-PER
হাসিনা।,NNP,I-PER
এমএম,NNP,B-MISC
কিট,NNC,B-OTH
নিসন্দেহে,ADV,B-OTH
অনেক,ADJ,B-OTH
কার্যকর,ADJ,B-OTH
যদি,CONJ,B-OTH
নিয়ম,NNC,B-OTH
নেমে,NNC,B-OTH
ঠিকভাবে,ADV,B-OTH
সেবন,NNC,B-OTH
করা,NNC,B-OTH
হয়।,VF,B-OTH
নিয়োগ,NNC,B-OTH
বিজ্ঞপ্তি,NNC,B-OTH
প্রকাশ,NNC,B-OTH
করেছে,VF,B-OTH
ট্রান্সকম,NNP,B-ORG
বেভারেজ,NNP,I-ORG
লিমিটেড।,NNP,I-ORG
১১.জনাব,OTH,B-NUM
নন্দিতা,NNP,I-NUM
বড়ুয়া,NNP,I-NUM
প্রভাষক,NNC,B-PER
যুক্তিবিদ্যা,PUNCT,B-OTH
কাপাসগােলা,NNP,B-ORG
সিটি,NNP,I-ORG
কর্পোরেশন,NNP,I-ORG
মহিলা,NNP,I-ORG
কলেজ,NNP,I-ORG
চট্টগ্রাম।,NNP,B-GPE
এই,DET,B-OTH
দুর্ঘটনায়,NNC,B-OTH
দুঃখ,NNC,B-OTH
প্রকাশ,NNC,B-OTH
করে,VNF,B-OTH
ইতিমধ্যেই,ADV,B-OTH
সামাজিক,ADJ,B-OTH
যোগাযোগ,NNC,B-OTH
মাধ্যমে,NNC,B-OTH
পোস্ট,NNC,B-OTH
করেছেন,VF,B-OTH
নেপালের,NNP,B-GPE
প্রধানমন্ত্রী,NNC,B-PER
পুষ্প,NNP,B-PER
কমল,NNP,I-PER
দাহাল।,NNP,I-PER
হাকিমপুর,NNP,B-PER
উপজেলা,NNC,I-PER
কৃষি,NNC,B-PER
কর্মকর্তা,NNC,I-PER
আরজেনা,NNP,B-PER
বেগম,NNP,I-PER
বলেন,VF,B-OTH
কৃষকদের,NNC,B-PER
মাঝে,PP,B-OTH
উচ্চফলনশীল,ADJ,B-OTH
জাতের,NNC,B-OTH
বীজ,NNC,B-OTH
সরবরাহ,NNC,B-OTH
করেছি।,VF,B-OTH
ক্লোরোফর্ম,NNP,B-OTH
অনেক,ADJ,B-OTH
কাজে,NNC,B-OTH
ব্যবহার,NNC,B-OTH
করা,NNC,B-OTH
হয়।,VF,B-OTH
তিনি,PRO,B-OTH
বলেন,VF,B-OTH
‘দেশের,PUNCT,B-OTH
প্রগতিশীল,ADJ,B-OTH
রাজনীতিতে,NNC,B-OTH
তার,PRO,B-OTH
অবদান,NNC,B-OTH
জাতি,NNC,B-OTH
চিরদিন,NNC,B-OTH
শ্রদ্ধার,NNC,B-OTH
সাথে,PP,B-OTH
স্বরণ,NNC,B-OTH
করবে।,VF,B-OTH
সাইদ,NNP,B-PER
১৯৫৩,QF,B-D&T
সালে,NNC,I-D&T
সোমালিয়ার,NNP,B-GPE
রাজধানী,NNC,B-OTH
মোগাদিসুতে,NNP,B-GPE
জন্মগ্রহণ,NNC,B-OTH
করেন।,VF,B-OTH
নির্বাচনে,NNC,B-EVENT
মূলত,ADV,B-OTH
প্রতিদ্বন্দ্বিতা,NNC,B-OTH
হবে,VF,B-OTH
সরকার,NNC,B-ORG
সমর্থকদের,NNC,B-PER
সাদা,ADJ,B-OTH
প্যানেল,NNC,B-ORG
ও,CONJ,B-OTH
বিএনপি,NNP,B-ORG
সমর্থকদের,NNC,B-PER
নীল,ADJ,B-OTH
প্যানেলের,NNC,B-ORG
মধ্যে।,PP,B-OTH
আশা,NNC,B-OTH
করছি,VF,B-OTH
কলেজ,NNC,B-ORG
কর্তৃপক্ষ,NNC,B-PER
বিষয়টি,NNC,B-OTH
বিবেচনা,NNC,B-OTH
করবে।,VF,B-OTH
বনমালী,NNP,B-PER
বলিয়াছিলেন,VF,B-OTH
তার,PRO,B-OTH
মামার,NNC,B-PER
কাছে—বর্মায়।,PP,B-OTH
সে,DET,B-OTH
বিষয়েও,NNC,B-OTH
ক্লাস,NNC,B-OTH
টিচার,NNC,B-PER
বা,CONJ,B-OTH
প্রশাসন,NNC,B-PER
কোন,DET,B-OTH
ভূমিকা,NNC,B-OTH
পালন,NNC,B-OTH
করেননি,VF,B-OTH
যার,PRO,B-OTH
ফলে,PP,B-OTH
আজকে,NNC,B-D&T
এরকম,ADJ,B-OTH
একটা,QF,B-NUM
দূর্ঘটনা,NNC,B-OTH
ঘটেছে,VF,B-OTH
প্রশ্ন,NNC,B-OTH
হলো,VF,B-OTH
১৩,QF,B-D&T
ডিসেম্বর,NNP,I-D&T
রওশনকে,NNP,B-PER
ভারপ্রাপ্ত,ADJ,B-PER
চেয়ারম্যান,NNC,I-PER
ঘোষণা,NNC,B-OTH
করা,NNC,B-OTH
হলো,VF,B-OTH
কেন,ADV,B-OTH
তিনি,PRO,B-OTH
জানান,VF,B-OTH
এ,DET,B-OTH
ঘটনায়,NNC,B-OTH
তিনটি,QF,B-NUM
কারণ,NNC,B-OTH
ছিল।,VF,B-OTH
৩,OTH,B-NUM
মুসলিম,NNP,B-PER
দেশগুলোর,NNC,B-OTH
উপর,PP,B-OTH
হত্যা,NNC,B-OTH
জুলুম,NNC,B-OTH
বন্ধ।,NNC,B-OTH
প্রাথমিক,ADJ,B-ORG
বিদ্যালয়ে,NNC,I-ORG
সহকারী,ADJ,B-PER
শিক্ষক,NNC,I-PER
পদে,NNC,B-OTH
অনির্দিষ্ট,ADJ,B-OTH
সংখ্যক,ADJ,B-OTH
জনবল,NNC,B-OTH
নিয়োগের,NNC,B-OTH
বিজ্ঞপ্তি,NNC,B-OTH
প্রকাশিত,ADJ,B-OTH
হয়েছে।,VF,B-OTH
“আমরা,PUNCT,B-OTH
দীর্ঘদিন,NNC,B-OTH
ধরে,PP,B-OTH
গ্রহের,NNC,B-OTH
গঠন,NNC,B-OTH
নিয়ে,PP,B-OTH
গবেষণা,NNC,B-OTH
করছি।,VF,B-OTH
অনলাইনে,NNC,B-OTH
ছড়িয়ে,VNF,B-OTH
পড়া,NNC,B-OTH
চিঠিতে,NNC,B-OTH
পূর্ববর্তী,ADJ,B-OTH
বেশ,ADJ,B-OTH
কিছু,ADJ,B-OTH
মুসলিমবিরোধী,ADJ,B-OTH
বিদ্বেষমূলক,ADJ,B-OTH
কর্মকাণ্ডের,NNC,B-OTH
বিবরণ,NNC,B-OTH
হাজির,NNC,B-OTH
করা,NNC,B-OTH
হয়েছে।,VF,B-OTH
নিজস্ব,ADJ,B-OTH
অর্থায়নে,NNC,B-OTH
পদ্মা,NNP,B-LOC
সেতুর,NNC,I-LOC
কাজ,NNC,B-OTH
শুরু,NNC,B-OTH
করা,NNC,B-OTH
মাইলফলক,ADJ,B-OTH
বিষয়।,NNC,B-OTH
দলীয়ভাবে,ADV,B-OTH
স্থানীয়,ADJ,B-EVENT
সরকার,NNC,I-EVENT
নির্বাচন,NNC,I-EVENT
হলে,VNF,B-OTH
বাংলাদেশের,NNP,B-GPE
গণতন্ত্রে,NNC,B-OTH
ইতিবাচক,ADJ,B-OTH
ও,CONJ,B-OTH
সদূরপ্রসারী,ADJ,B-OTH
প্রভাব,NNC,B-OTH
পড়বে।,VF,B-OTH
তত্ত্বাবধান,NNC,B-OTH
ছাড়া,PP,B-OTH
বিদ্যুৎ,NNC,B-OTH
উৎসের,NNC,B-OTH
সাথে,PP,B-OTH
সংযুক্ত,ADJ,B-OTH
পণ্যটি,NNC,B-OTH
কখনই,ADV,B-OTH
ছেড়ে,VNF,B-OTH
দেবেন,VF,B-OTH
না।,ADV,B-OTH
তাহলে,CONJ,B-OTH
বাংলাদেশ,NNP,B-ORG
তৃণমূল,NNP,I-ORG
লীগ,NNP,I-ORG
থাকতে,VNF,B-OTH
সমস্যা,NNC,B-OTH
কী,PRO,B-OTH
বিশ্বের,NNC,B-OTH
সর্বোচ্চ,ADJ,B-OTH
উচ্চতার,NNC,B-OTH
মই,NNC,B-OTH
টার্নটেবল,PUNCT,B-OTH
ল্যাডার,NNC,B-OTH
পাচ্ছে,VF,B-OTH
চট্টগ্রাম,NNP,B-ORG
ফায়ার,NNP,I-ORG
সার্ভিস,NNP,I-ORG
ও,CONJ,I-ORG
সিভিল,NNP,I-ORG
ডিফেন্স,NNP,I-ORG
দপ্তর।,NNP,I-ORG
বাচ্চাদের,NNC,B-PER
বিষয়ে,NNC,B-OTH
গাফিলতি,NNC,B-OTH
একেবারেই,ADV,B-OTH
নয়।,VF,B-OTH
লিটন,NNP,B-PER
বিএনপির,NNP,B-ORG
সাত,QF,B-NUM
নেতা,NNC,B-PER
পদত্যাগে,NNC,B-OTH
আওয়ামী,NNP,B-ORG
লীগের,NNP,I-ORG
কিছু,PRO,B-OTH
আসে,VNF,B-OTH
যায়,VF,B-OTH
না।,ADV,B-OTH
তবে,CONJ,B-OTH
জায়েদ,NNP,B-PER
খানের,NNP,I-PER
আইনজীবী,NNC,B-PER
ব্যরিস্টার,NNC,B-PER
আহসানুল,NNP,B-PER
করিম,NNP,I-PER
বলেন,VF,B-OTH
নির্বাচনী,NNC,B-OTH
আপিল,NNC,B-ORG
বোর্ডের,NNC,B-ORG
জায়েদ,NNP,B-PER
খানের,NNP,I-PER
প্রার্থিতা,NNC,B-OTH
বাতিলের,NNC,B-OTH
ক্ষমতাই,NNC,B-OTH
ছিলোনা।,VF,B-OTH
‘ইতিবৃত্তে,PUNCT,B-OTH
চণ্ডাল,NNP,B-T&T
জীবন’,NNP,B-T&T
প্রথম,PUNCT,B-OTH
খণ্ড,NNC,B-OTH
তিনি,PRO,B-OTH
জানান,VF,B-OTH
ওই,DET,B-OTH
সময়ের,NNC,B-OTH
মধ্যে,PP,B-OTH
বাংলাদেশ,NNP,B-ORG
আওয়ামী,NNP,I-ORG
লীগের,NNP,I-ORG
মনোনীত,ADJ,B-OTH
প্রার্থী,NNC,B-PER
মোছা,NNP,B-PER
ডরথী,NNP,I-PER
রহমানের,NNP,I-PER
মনোনয়নপত্র,NNC,B-OTH
দাখিল,NNC,B-OTH
করা,NNC,B-OTH
হয়।,VF,B-OTH
চট্টগ্রামে,NNP,B-GPE
উৎসব,NNC,B-EVENT
সকল,ADJ,B-OTH
শিষ্য,NNC,B-PER
ও,CONJ,B-OTH
ভক্তবৃন্দের,NNC,B-PER
উপস্থিতি,NNC,B-OTH
গুরু,NNC,B-OTH
ধাম,NNC,B-OTH
কুতুবপুর,NNP,B-LOC
গত,ADJ,B-D&T
২০২১,QF,I-D&T
সালের,NNC,I-D&T
২৮,QF,I-D&T
জুন,NNP,I-D&T
‘কুড়িগ্রাম,PUNCT,B-OTH
কৃষি,NNP,B-T&T
বিশ্ববিদ্যালয়,NNP,B-T&T
বিল-২০২১’,NNP,B-T&T
জাতীয়,ADJ,B-ORG
সংসদে,NNC,I-ORG
উত্থাপিত,ADJ,B-OTH
হয়।,VF,B-OTH
সিংহ,NNP,B-OTH
রাশি,NNC,B-OTH
২১জুলাই,PUNCT,B-OTH
–,PUNCT,B-D&T
২১,QF,B-D&T
আগষ্ট,NNP,B-D&T
,PUNCT,B-OTH
সিংহ,NNP,B-OTH
রাশির,NNC,B-OTH
জাতক,NNC,B-PER
জাতিকার,NNC,B-PER
দিনটি,NNC,B-OTH
হটাৎ,ADV,B-OTH
করেই,VNF,B-OTH
কর্মক্ষেত্রে,NNC,B-OTH
সফলতার।,NNC,B-OTH
ইটারেটিভ,ADJ,B-OTH
ডিপিতে,NNC,B-OTH
বেস-কেস,NNC,B-OTH
হ‍্যান্ডেল,NNC,B-OTH
করতে,VNF,B-OTH
একটু,ADJ,B-OTH
বেশি,ADJ,B-OTH
সতর্ক,NNC,B-OTH
থাকতে,VNF,B-OTH
হয়।,VF,B-OTH
আজকের,NNC,B-D&T
বোজার:এলকে/এলকে,NNC,B-OTH
১৫,QF,B-D&T
মে,NNP,I-D&T
২০১৭,QF,I-D&T
বুখারী,PUNCT,B-OTH
ও,CONJ,B-OTH
মুসলিম,NNP,B-T&T
মিশকাত,NNP,B-T&T
হা/৪৯২২,NNC,I-T&T
এ,DET,B-OTH
জন্য,PP,B-OTH
পোশাক,NNC,B-OTH
ও,CONJ,B-OTH
স্বাস্থ্য,NNC,B-OTH
বিশেষজ্ঞরা,NNC,B-PER
ভালো,ADJ,B-OTH
মোজা,NNC,B-OTH
ব্যবহারের,NNC,B-OTH
পরামর্শ,NNC,B-OTH
দেন।,VF,B-OTH
বিএনপির,NNP,B-ORG
ভাইস,ADJ,B-PER
চেয়ারম্যান,NNC,I-PER
ও,CONJ,B-OTH
জ্যেষ্ঠ,ADJ,B-OTH
আইনজীবী,NNC,B-PER
জয়নুল,NNP,B-PER
আবেদীন,NNP,I-PER
আরও,ADV,B-OTH
বলেন,VF,B-OTH
‘দেশে,PUNCT,B-OTH
গণতন্ত্র,NNC,B-OTH
হত্যা,NNC,B-OTH
করা,NNC,B-OTH
হয়েছে।,VF,B-OTH
জেলা,NNC,B-PER
প্রশাসক,NNC,I-PER
আরও,ADV,B-OTH
বলেন,VF,B-OTH
পাগলা,NNP,B-LOC
মসজিদ,NNP,I-LOC
নিয়ে,PP,B-OTH
অনেকে,PRO,B-OTH
প্রতারণার,NNC,B-OTH
সুযোগ,NNC,B-OTH
নিচ্ছেন,VF,B-OTH
বলে,PP,B-OTH
অভিযোগ,NNC,B-OTH
পাওয়া,NNC,B-OTH
গেছে।,VF,B-OTH
আর্টিফিশিয়াল,ADJ,B-OTH
